,ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Gerente,Meta_Mensal,Faturamento,Ano_Mes
0,1,2023-06-08,São Paulo,Mouse Gamer,120.0,1,Cliente_4095,Carlos,50000.0,120.0,2023-06
1,2,2023-03-01,Belo Horizonte,iPhone 14,5500.0,1,Cliente_8750,Juliana,55000.0,5500.0,2023-03
2,3,2023-02-25,Online,"Monitor 27""",1200.0,1,Cliente_14859,Sem Gerente (E-commerce),0.0,1200.0,2023-02
3,4,2024-11-19,Rio De Janeiro,Mouse Gamer,120.0,2,Cliente_17343,Fernanda,60000.0,240.0,2024-11
4,5,2024-01-27,Rio De Janeiro,Smartphone Samsung,2200.0,1,Cliente_23377,Fernanda,60000.0,2200.0,2024-01
5,6,2023-03-11,São Paulo,Cabo HDMI,40.0,1,Cliente_24809,Carlos,50000.0,40.0,2023-03
6,7,2024-12-08,Salvador,"Monitor 27""",1200.0,1,Cliente_11076,Ana,52000.0,1200.0,2024-12
7,8,2024-09-12,São Paulo,"Monitor 27""",1200.0,2,Cliente_14053,Carlos,50000.0,2400.0,2024-09
8,9,2023-05-20,Belo Horizonte,Mouse Gamer,120.0,1,Cliente_19175,Juliana,55000.0,120.0,2023-05
9,10,2024-10-16,Recife,Notebook HP,3200.0,1,Cliente_13508,Marcos,48000.0,3200.0,2024-10
10,11,2023-06-28,Rio De Janeiro,Smartphone Samsung,2200.0,1,Cliente_3253,Fernanda,60000.0,2200.0,2023-06
11,12,2024-01-29,Rio De Janeiro,Mouse Gamer,120.0,1,Cliente_586,Fernanda,60000.0,120.0,2024-01
12,13,2024-06-25,Recife,Smartphone Samsung,2200.0,1,Cliente_4301,Marcos,48000.0,2200.0,2024-06
13,14,2023-04-13,Belo Horizonte,Smartphone Samsung,2200.0,1,Cliente_22985,Juliana,55000.0,2200.0,2023-04
14,15,2023-06-23,Curitiba,Cabo HDMI,40.0,1,Cliente_27383,Roberto,45000.0,40.0,2023-06
15,16,2024-04-04,Curitiba,"Monitor 27""",1200.0,1,Cliente_12891,Roberto,45000.0,1200.0,2024-04
16,17,2023-06-16,Rio De Janeiro,iPhone 14,5500.0,1,Cliente_28162,Fernanda,60000.0,5500.0,2023-06
17,18,2023-07-06,Curitiba,Cabo HDMI,40.0,1,Cliente_24451,Roberto,45000.0,40.0,2023-07
